序号,行,位,汉字,覆盖状态,楚系简帛字形数,楚系简帛著录,楚系简帛全部著录,楚系简帛SVG,秦系简牍字形数,秦系简牍著录,秦系简牍全部著录,秦系简牍SVG
1,1,1,憙,两通道都有,36,憙包2.7,憙包2.7 | 憙包2.165 | 憙包2.167 | 憙包2.198 | 憙包2.200 | 憙包2.204 | 憙包2.215 | 憙天卜 | 憙天卜 | 憙天卜 | 憙天卜 | 憙天卜 | 憙天卜 | 憙天卜 | 憙天卜 | 憙天卜 | 憙天卜 | 憙天卜 | 憙天卜 | 憙望1.26 | 憙郭.性.2 | 憙郭.性.24 | 憙郭.性.34 | 憙郭.性.63 | 憙郭.語1.45 | 憙郭.語2.28 | 憙郭.語2.28 | 憙上(1).孔.18 | 憙上(1).孔.21 | 憙上(1).孔.22 | 憙香中大.4 | 憙上(2).昔.3 | 憙上(2).昔.3 | 憙新甲3.203 | 憙新甲3.314 | 憙新零.139,https://img.zdic.net/zy/chuwenzi/52_E17C.svg;https://img.zdic.net/zy/chuwenzi/52_E17D.svg;https://img.zdic.net/zy/chuwenzi/52_E17E.svg;https://img.zdic.net/zy/chuwenzi/52_E181.svg;https://img.zdic.net/zy/chuwenzi/52_E17F.svg;https://img.zdic.net/zy/chuwenzi/52_E180.svg;https://img.zdic.net/zy/chuwenzi/52_E182.svg;https://img.zdic.net/zy/chuwenzi/52_E183.svg;https://img.zdic.net/zy/chuwenzi/52_E184.svg;https://img.zdic.net/zy/chuwenzi/52_E185.svg;https://img.zdic.net/zy/chuwenzi/52_E186.svg;https://img.zdic.net/zy/chuwenzi/52_E187.svg;https://img.zdic.net/zy/chuwenzi/52_E188.svg;https://img.zdic.net/zy/chuwenzi/52_E189.svg;https://img.zdic.net/zy/chuwenzi/52_E18A.svg;https://img.zdic.net/zy/chuwenzi/52_E18B.svg;https://img.zdic.net/zy/chuwenzi/52_E18C.svg;https://img.zdic.net/zy/chuwenzi/52_E18D.svg;https://img.zdic.net/zy/chuwenzi/52_E18E.svg;https://img.zdic.net/zy/chuwenzi/52_E18F.svg;https://img.zdic.net/zy/chuwenzi/56_E734.svg;https://img.zdic.net/zy/chuwenzi/56_E736.svg;https://img.zdic.net/zy/chuwenzi/56_E737.svg;https://img.zdic.net/zy/chuwenzi/56_E738.svg;https://img.zdic.net/zy/chuwenzi/56_E739.svg;https://img.zdic.net/zy/chuwenzi/56_E73B.svg;https://img.zdic.net/zy/chuwenzi/56_E73C.svg;https://img.zdic.net/zy/chuwenzi/56_E731.svg;https://img.zdic.net/zy/chuwenzi/56_E732.svg;https://img.zdic.net/zy/chuwenzi/56_E733.svg;https://img.zdic.net/zy/chuwenzi/56_E735.svg;https://img.zdic.net/zy/chuwenzi/56_E73A.svg;https://img.zdic.net/zy/chuwenzi/56_E73D.svg;https://img.zdic.net/zy/chuwenzi/56_E73F.svg;https://img.zdic.net/zy/chuwenzi/56_E73E.svg;https://img.zdic.net/zy/chuwenzi/56_E740.svg,4,憙睡.日乙202,憙睡.日乙202 | 憙睡.日乙211 | 憙睡.日乙221 | 憙睡.日乙219,https://img.zdic.net/zy/qinwenzi/71_E4E4.svg;https://img.zdic.net/zy/qinwenzi/71_E4E5.svg;https://img.zdic.net/zy/qinwenzi/71_E4E6.svg;https://img.zdic.net/zy/qinwenzi/71_E4E7.svg
2,1,2,杕,仅秦系简牍,0,,,,2,杕睡.秦147,杕睡.秦147 | 杕睡.秦134,https://img.zdic.net/zy/qinwenzi/71_E5F0.svg;https://img.zdic.net/zy/qinwenzi/71_E5F1.svg
3,1,3,楯,仅秦系简牍,0,,,,3,楯睡.效9,楯睡.效9 | 楯睡.效3 | 楯睡.秦178,https://img.zdic.net/zy/qinwenzi/71_E38D.svg;https://img.zdic.net/zy/qinwenzi/71_E38B.svg;https://img.zdic.net/zy/qinwenzi/71_E38C.svg
4,1,4,犇,两通道都有,3,犇包2.6,犇包2.6 | 犇天策 | 犇天策,https://img.zdic.net/zy/chuwenzi/53_E3B5.svg;https://img.zdic.net/zy/chuwenzi/53_E3B6.svg;https://img.zdic.net/zy/chuwenzi/53_E3B7.svg,3,犇睡.為28,犇睡.為28 | 犇睡.日甲152 | 犇睡.法132,https://img.zdic.net/zy/qinwenzi/71_EB25.svg;https://img.zdic.net/zy/qinwenzi/71_EB24.svg;https://img.zdic.net/zy/qinwenzi/71_EB26.svg
5,1,5,珷,两通道都有,22,珷帛丙1.4,珷帛丙1.4 | 珷帛丙2.4 | 珷信1.030 | 珷包2.169 | 珷包2.175 | 珷包2.192 | 珷包2.246 | 珷郭.窮.4 | 珷郭.性.25 | 珷郭.性.28 | 珷九.56.43 | 珷上(1).孔.24 | 珷上(1).性.17 | 珷上(2).子.12 | 珷上(2).子.12 | 珷上(2).從(乙).6 | 珷上(2).容.49 | 珷上(2).容.49-50 | 珷上(2).容.50-51 | 珷上(2).容.51 | 珷上(2).容.52 | 珷新乙1.13,https://img.zdic.net/zy/chuwenzi/53_E9D0.svg;https://img.zdic.net/zy/chuwenzi/53_E9D1.svg;https://img.zdic.net/zy/chuwenzi/53_E9CF.svg;https://img.zdic.net/zy/chuwenzi/53_E9CB.svg;https://img.zdic.net/zy/chuwenzi/53_E9CC.svg;https://img.zdic.net/zy/chuwenzi/53_E9CD.svg;https://img.zdic.net/zy/chuwenzi/53_E9CE.svg;https://img.zdic.net/zy/chuwenzi/57_F145.svg;https://img.zdic.net/zy/chuwenzi/57_F143.svg;https://img.zdic.net/zy/chuwenzi/57_F144.svg;https://img.zdic.net/zy/chuwenzi/57_F146.svg;https://img.zdic.net/zy/chuwenzi/57_F147.svg;https://img.zdic.net/zy/chuwenzi/57_F148.svg;https://img.zdic.net/zy/chuwenzi/57_F14A.svg;https://img.zdic.net/zy/chuwenzi/57_F14B.svg;https://img.zdic.net/zy/chuwenzi/57_F149.svg;https://img.zdic.net/zy/chuwenzi/57_F14C.svg;https://img.zdic.net/zy/chuwenzi/57_F14D.svg;https://img.zdic.net/zy/chuwenzi/57_F14E.svg;https://img.zdic.net/zy/chuwenzi/57_F14F.svg;https://img.zdic.net/zy/chuwenzi/57_F150.svg;https://img.zdic.net/zy/chuwenzi/57_F151.svg,2,珷睡.日甲146,珷睡.日甲146 | 珷睡.日乙241,https://img.zdic.net/zy/qinwenzi/71_ECDB.svg;https://img.zdic.net/zy/qinwenzi/71_ECDC.svg
6,1,6,逴,仅楚系简帛,1,逴上(1).性.35,逴上(1).性.35,https://img.zdic.net/zy/chuwenzi/55_E7CB.svg,0,,,
7,1,7,临,两通道都有,8,临包2.33,临包2.33 | 临包2.53 | 临包2.79 | 临包2.79 | 临包2.79 | 临包2.79 | 临包2.185 | 临郭.老甲.2,https://img.zdic.net/zy/chuwenzi/52_F4C7.svg;https://img.zdic.net/zy/chuwenzi/52_F4C5.svg;https://img.zdic.net/zy/chuwenzi/52_F4C1.svg;https://img.zdic.net/zy/chuwenzi/52_F4C2.svg;https://img.zdic.net/zy/chuwenzi/52_F4C3.svg;https://img.zdic.net/zy/chuwenzi/52_F4C4.svg;https://img.zdic.net/zy/chuwenzi/52_F4C6.svg;https://img.zdic.net/zy/chuwenzi/56_F5FA.svg,3,临睡.為51,临睡.為51 | 临睡.日乙136 | 临睡.為37,https://img.zdic.net/zy/qinwenzi/71_E929.svg;https://img.zdic.net/zy/qinwenzi/71_E928.svg;https://img.zdic.net/zy/qinwenzi/71_E927.svg
