序号,简体字,繁体字,拼音,六书类别,部首,笔画数,本义(原始),复核结论(人工填写)
807,黍,黍,shǔ,会意,黍,12,禾屬而黏者也。以大暑而穜，故謂之黍,
808,森,森,sēn,会意,木,12,三木为森，树木众多茂密,
809,蒐,蒐,sōu,会意,艸,12,茅蒐，茹藘。人血所生，可以染絳,
810,竦,竦,sǒng,会意,立,12,敬也,
811,𬯎,隤,tuí,会意,阜,12,下隊也,
812,覃,𪉷,tán,会意,襾,12,長味也,
813,焞,焞,tūn,会意,火,12,明也,
814,羡,羨,xiàn,会意,羊,12,貪欲也,
815,飨,饗,xiǎng,会意,食,12,鄉人飲酒也,
816,敩,斆,xué,会意,攴,12,覺悟也,
817,嵇,嵇,xí,会意,山,12,山名,
818,巽,巽,xùn,会意,己,12,具也,
819,睎,睎,xī,会意,目,12,望也,
820,喜,喜,xǐ,会意,口,12,樂也,
821,媛,媛,yuàn,会意,女,12,美女也。人所援也,
822,鼋,黿,yuán,会意,黽,12,大鼈也,
823,粤,粵,yuè,会意,米,12,亏也。審愼之詞者,
824,焱,焱,yàn,会意,火,12,火華也,
825,萦,縈,yíng,会意,糸,12,收韏也,
826,御,御,yù,会意,彳,12,使馬也,
827,矞,矞,yù,会意,矛,12,以錐有所穿也,
828,愠,慍,yùn,会意,心,12,怒也,
829,缊,縕,yùn,会意,糸,12,紼也,
830,䓨,罃,yīng,会意,缶,12,備火，長頸缾也,
831,旐,旐,zhào,会意,方,12,龜蛇四游，以象營室，游游而長,
832,詟,讋,zhé,会意,言,12,失气言。一曰不止也,
833,智,智,zhì,会意,日,12,同𣉻（出《康熙字典》）,
834,粥,粥,zhōu,会意,米,12,糜也（出《玉篇》）,
835,黹,黹,zhǐ,会意,黹,12,箴縷所紩衣,
836,最,最,zuì,会意,曰,12,犯而取也,
837,葬,葬,zàng,会意,艸,12,藏也,
838,尊,𢍜,zūn,会意,寸,12,酒器也,
839,奡,奡,ào,会意,大,12,嫚也,
840,媪,媼,ǎo,会意,女,12,女老偁也,
841,辟,闢,bì,会意,辛,13,法也,
842,禀,稟,bǐng,会意,示,13,賜穀也,
843,粲,粲,càn,会意,米,13,稻重一䄷，爲粟二十斗，爲米十斗，曰毇；爲米六斗太半斗，曰粲,
844,辞,辭,cí,会意,辛,13,訟也,
845,叠,疊,dié,会意,又,13,重也（出《玉篇》）,
846,𬭚,錞,duì,会意,金,13,矛𢧢柲下銅，鐏也,
847,窦,竇,dòu,会意,穴,13,空也,
848,亶,亶,dǎn,会意,亠,13,多穀也,
849,赗,賵,fèng,会意,貝,13,贈死者,
850,彀,彀,gòu,会意,弓,13,張弩也,
851,雊,雊,gòu,会意,隹,13,雄雌鳴也。雷始動，雉鳴而雊其頸,
852,毂,轂,gǔ,会意,車,13,輻所凑也,
853,豢,豢,huàn,会意,豕,13,以穀圈養豕也,
854,解,解,jiě/jiè,会意,角,13,用刀分解牛角,
855,蓏,蓏,luǒ,会意,艸,13,在木曰果，在地曰蓏,
856,雷,雷,léi,会意,雨,13,打雷，中间闪电形加圆圈表示雷声,
857,路,路,lù,会意,足,13,道路,
858,瑁,瑁,mào,会意,玉,13,諸侯執圭朝天子，天子執玉以冒之，似犂冠。《周禮》曰：“天子執瑁四寸。”从玉、冒，,
859,剽,剽,piào,会意,刀,13,砭刺也,
860,辔,轡,pèi,会意,車,13,馬轡也,
861,搒,搒,péng,会意,手,13,掩也,
862,媲,媲,pì,会意,女,13,妃也,
863,频,瀕,pín,会意,頁,13,水厓。人所賓附，頻蹙不前而止,
864,滂,滂,pāng,会意,水,13,沛也,
865,骞,騫,qiān,会意,馬,13,馬腹縶也,
866,碏,碏,què,会意,石,13,《左氏傳》：“衞大夫石碏。”《唐韻》云：敬也,
867,瑞,瑞,ruì,会意,玉,13,以玉爲信也,
868,睡,睡,shuì,会意,目,13,坐寐也,
869,筮,筮,shì,会意,竹,13,《易》卦用蓍也,
870,嗣,嗣,sì,会意,口,13,諸侯嗣國也,
871,塞,塞,sāi/sài/sè,会意,土,13,隔也,
872,嵩,嵩,sōng,会意,山,13,中岳，嵩高山也,
873,腼,靦,tiǎn,会意,面,13,面見也,
874,蜕,蛻,tuì,会意,虫,13,蛇蟬所解皮也,
875,阘,闒,tà,会意,門,13,樓上戶也,
876,溦,溦,wēi,会意,水,13,小雨也,
877,辒,轀,wēn,会意,車,13,臥車也,
878,酰,醯,xī,会意,酉,13,酸也。作醯以𩱙以酒,
879,敫,敫,yuè,会意,攴,13,光景流也,
880,睚,睚,yá,会意,目,13,目際也,
881,媱,媱,yáo,会意,女,13,曲肩行皃,
882,意,意,yì,会意,心,13,志也,
883,裔,裔,yì,会意,衣,13,衣裾也,
884,蓥,鎣,yìng,会意,金,13,器也,
885,愚,愚,yú,会意,心,13,戇也,
886,麀,麀,yōu,会意,鹿,13,牝鹿也,
887,瑑,瑑,zhuàn,会意,玉,13,圭璧上起兆瑑也,
888,置,置,zhì,会意,网,13,赦也,
889,詹,詹,zhān,会意,言,13,多言也,
890,鲊,鮺,zhǎ,会意,魚,13,藏魚也。南方謂之䰼，北方謂之鮺,
891,罪,罪,zuì,会意,网,13,捕魚竹网,
892,蔈,蔈,biāo,会意,艸,14,苕之黃華也,
893,幖,幖,biāo,会意,巾,14,幟也,
894,箅,箅,bì,会意,竹,14,蔽也，所以蔽甑底,
895,殡,殯,bìn,会意,歹,14,死在棺，將遷葬柩，賓遇之,
896,鼻,鼻,bí,会意,鼻,14,引气自𢌿也,
897,瘥,瘥,chài,会意,疒,14,瘉也,
898,察,察,chá,会意,宀,14,覆也,
899,龇,齜,chái,会意,齒,14,齒相齗也。一曰開口見齒之皃,
900,翟,翟,dí,会意,羽,14,山雉尾長者,
901,寡,寡,guǎ,会意,宀,14,少也,
902,蜾,𧒘,guǒ,会意,虫,14,𧒘蠃，蒲盧，細要土蠭也。天地之性，細要，純雄，無子。《詩》曰：“螟𧕅有子，𧒘蠃負,
903,榖,榖,gǔ,会意,木,14,楮也,
904,赫,赫,hè,会意,赤,14,火赤皃,
905,僦,僦,jiù,会意,人,14,賃也,
906,龈,齦,kěn,会意,齒,14,齧也,
907,廖,廖,liào,会意,广,14,人姓,
908,銮,鑾,luán,会意,金,14,人君乘車，四馬鑣，八鑾鈴，象鸞鳥聲，和則敬也,
909,嫠,嫠,lí,会意,女,14,無夫也,
910,蔑,蔑,miè,会意,艸,14,勞目無精也,
911,髦,髦,máo,会意,髟,14,髮也,
912,魅,鬽,mèi,会意,鬼,14,老精物也,
913,甍,甍,méng,会意,瓦,14,屋棟也,
914,暮,莫,mù,会意,日,14,日且冥也,
915,嫖,嫖,piào,会意,女,14,輕也,
916,骠,驃,piào,会意,馬,14,黃馬發白色。一曰白髦尾也,
917,嘌,嘌,piāo,会意,口,14,疾也,
918,缥,縹,piǎo,会意,糸,14,帛青白色也,
919,罴,羆,pí,会意,网,14,如熊，黃白文,
920,嫱,嬙,qiáng,会意,女,14,婦官也,
921,銎,銎,qiōng,会意,金,14,斤釜穿也,
922,綦,綥,qí,会意,糸,14,帛蒼艾色,
923,綮,綮,qǐ,会意,糸,14,㨖繒也。一曰幑幟，信也，有齒,
924,睿,叡,ruì,会意,目,14,深明也。通也,
925,鄯,鄯,shàn,会意,邑,14,鄯善，西胡國也,
926,算,算,suàn,会意,竹,14,數也,
927,榻,榻,tà,会意,木,14,牀也,
928,寤,寤,wù,会意,宀,14,寐覺而有信曰寤,
929,稳,穩,wěn,会意,禾,14,蹂榖聚也。一曰安也,
930,榭,榭,xiè,会意,木,14,臺有屋也,
931,㬎,㬎,xiǎn,会意,日,14,衆微杪也,
932,夐,夐,xuàn,会意,夊,14,營求也,
933,熏,燻,xūn/xùn,会意,火,14,火煙上出也,
934,瑶,瑤,yáo,会意,玉,14,玉之美者,
935,睾,睪,yì,会意,目,14,目視也,
936,瘗,瘞,yì,会意,疒,14,幽薶也,
937,蝇,蠅,yíng,会意,虫,14,營營青蠅。蟲之大腹者,
938,旖,旖,yǐ,会意,方,14,旗旖施也,
939,赘,贅,zhuì,会意,貝,14,以物質錢,
940,疐,疐,zhì,会意,疋,14,礙不行也,
941,鲝,鮺,zhǎ,会意,魚,14,藏魚也。南方謂之䰼，北方謂之鮺,
942,粽,糉,zòng,会意,米,14,蘆葉裹米也,
943,隩,隩,ào,会意,阜,14,水隈，崖也,
944,熛,熛,biāo,会意,火,15,火飛也,
945,暴,暴,bào,会意,日,15,同㬥（出《玉篇》）,
946,廛,廛,chán,会意,广,15,一畝半，一家之居,
947,澂,澂,chéng,会意,水,15,清也,
948,漦,漦,chí,会意,水,15,順流也。一曰水名,
949,樊,樊,fán,会意,木,15,鷙不行也,
950,憔,䩌,jiāo,会意,心,15,面焦枯小也,
951,屦,屨,jù,会意,尸,15,履也,
952,畿,畿,jī,会意,田,15,天子千里地。以遠近言之，則言畿也,
953,遴,遴,lìn,会意,辵,15,行難也,
954,磊,磊,lěi,会意,石,15,眾石也,
955,𫞩,璊,mén,会意,玉,15,玉䞓色也,
956,瞢,瞢,méng,会意,目,15,目不明也,
957,瞑,瞑,míng,会意,目,15,翕目也,
958,膘,膘,piǎo,会意,肉,15,牛脅後髀前合革肉也,
959,奭,奭,shì,会意,大,15,盛也,
960,潸,潸,shān,会意,水,15,涕流皃,
961,鋈,鋈,wù,会意,金,15,白金也,
962,皛,皛,xiào,会意,白,15,顯也,
963,𬸣,鶱,xiān,会意,鳥,15,飛皃,
964,𫍽,譞,xuān,会意,言,15,譞，慧也,
965,鹞,鷂,yào,会意,鳥,15,鷙鳥也,
966,牖,牖,yǒu,会意,片,15,穿壁以木爲交窻也,
967,窳,窳,yǔ,会意,穴,15,污窬也,
968,踔,踔,zhào,会意,足,15,踶也,
969,霅,霅,zhá,会意,雨,15,霅霅，震電皃。一曰眾言也,
970,徵,徵,zhēng,会意,彳,15,召也,
971,醉,醉,zuì,会意,酉,15,卒也。卒其度量，不至於亂也。一曰潰也,
972,辩,辯,biàn,会意,辛,16,治也,
973,镖,鏢,biāo,会意,金,16,刀削末銅也,
974,篦,篦,bì,会意,竹,16,導也。今俗謂之篦,
975,盥,盥,guàn,会意,皿,16,澡手也,
976,縠,縠,hú,会意,糸,16,細縛也,
977,薅,薅,hāo,会意,艸,16,拔去田艸也,
978,薨,薨,hōng,会意,艸,16,公矦𣨛也,
979,麇,麇,jūn,会意,鹿,16,麞也,
980,罹,罹,lí,会意,网,16,心憂也,
981,橑,橑,lǎo,会意,木,16,椽也,
982,廪,㐭,lǐn,会意,亠,16,穀所振入。宗廟粢盛，倉黃㐭而取之，故謂之㐭,
983,螟,螟,míng,会意,虫,16,蟲食穀葉者。吏冥冥犯法卽生螟,
984,凝,冰,níng,会意,冫,16,水堅也,
985,瞟,瞟,piǎo,会意,目,16,𥉻也,
986,濒,瀕,pín,会意,水,16,水厓。人所賓附，頻蹙不前而止,
987,褰,褰,qiān,会意,衣,16,絝也,
988,器,器,qì,会意,口,16,犬守器皿（会意器物）,
989,燊,燊,shēn,会意,火,16,盛皃,
990,薮,藪,sǒu,会意,艸,16,大澤也,
991,橐,橐,tuó,会意,木,16,囊也,
992,薤,䪥,xiè,会意,艸,16,菜也。葉似韭,
993,隰,隰,xí,会意,阜,16,阪下溼也,
994,憙,憙,xǐ,会意,心,16,說也,
995,虤,虤,yán,会意,虍,16,虎怒也,
996,嬴,嬴,yíng,会意,女,16,少昊氏之姓也,
997,赞,贊,zàn,会意,貝,16,見也,
998,錾,鏨,zàn,会意,金,16,小鑿也,
999,噪,喿,zào,会意,口,16,鳥羣鳴也,
1000,噩,噩,è,会意,口,16,驚也（出《玉篇》）,
1001,簋,簋,guǐ,会意,竹,17,黍稷方器也,
1002,隳,隓,huī,会意,阜,17,敗城𨸏曰隓,
1003,壑,㕡,hè,会意,土,17,溝也,
1004,觳,觳,hú,会意,角,17,盛觵卮也。一曰射具,
1005,醢,醢,hǎi,会意,酉,17,肉𨡓也,
1006,蹇,蹇,jiǎn,会意,足,17,跛也,
1007,謇,蹇,jiǎn,会意,言,17,跛也,
1008,罽,罽,jì,会意,网,17,魚网也,
1009,蹐,蹐,jí,会意,足,17,小步也,
1010,羁,𦌭,jī,会意,网,17,馬絡頭也,
1011,鹩,鷯,liáo,会意,鳥,17,刀鷯。剖葦，食其中蟲,
1012,蟊,蟊,máo,会意,虫,17,蠿蟊也,
1013,懑,懣,mèn,会意,心,17,煩也,
1014,貔,貔,pí,会意,豸,17,豹屬，出貉國,
1015,穗,𥝩,suì,会意,禾,17,禾成秀也，人所以收,
1016,燮,燮,xiè,会意,火,17,和也,
1017,襄,襄,xiāng,会意,衣,17,漢令：解衣耕謂之襄,
1018,龠,龠,yuè,会意,龠,17,樂之竹管，三孔，以和眾聲也,
1019,簟,簟,diàn,会意,竹,18,竹席也,
1020,簠,簠,fǔ,会意,竹,18,黍稷圜器也,
1021,颢,顥,hào,会意,頁,18,白皃,
1022,瞿,瞿,jù,会意,目,18,鷹隼之視也,
1023,釐,釐,lí,会意,里,18,家福也,
1024,鞣,鞣,róu,会意,革,18,耎也,
1025,鳎,鰨,tǎ,会意,魚,18,虛鰨也,
1026,鳐,鰩,yáo,会意,魚,18,文鰩，魚名,
1027,彝,彝,yí,会意,彐,18,宗廟常器也,
1028,嚚,嚚,yín,会意,口,18,語聲也,
1029,蹢,蹢,zhí,会意,足,18,住足也,
1030,簪,兂,zēn,会意,竹,18,首笄也,
1031,魑,魑,chī,会意,鬼,19,鬼屬,
1032,羹,𩱧,gēng,会意,羊,19,五味盉羹也,
1033,彟,蒦,huò,会意,艸,19,規蒦，商也,
1034,疆,畺,jiāng,会意,田,19,界也,
1035,蠃,蠃,luǒ,会意,虫,19,蜾蠃也,
1036,羸,羸,léi,会意,羊,19,瘦也,
1037,攀,𠬜,pān,会意,手,19,引也,
1038,瀣,瀣,xiè,会意,水,19,沆韰，气也,
1039,醯,醯,xī,会意,酉,19,酸也。作醯以𩱙以酒,
1040,霭,靄,ǎi,会意,雨,19,雲皃,
1041,矍,矍,jué,会意,目,20,隹欲逸走也,
1042,鬒,㐱,zhěn,会意,髟,20,稠髮也,
1043,羼,羼,chàn,会意,羊,21,羊相厠也,
1044,夔,夔,kuí,会意,艸,21,神魖也。如龍，一足,
1045,蘸,蘸,zhàn,会意,艸,22,以物没水也。此蓋俗語,
1046,鬻,鬻,zhōu,会意,鬲,22,䭈也,
1047,矗,矗,chù,会意,目,24,齊也（出《玉篇》）,
1048,蠹,蠹,dù,会意,虫,24,木中蟲,
1049,戆,戇,zhuàng,会意,心,25,愚也,
1050,爨,爨,cuàn,会意,火,30,齊謂之炊爨。𦥑象持甑，冂爲竈口，廾推林内火,
1051,一,一,yī,指事,一,1,数之始，以横画表示数目一,
1052,八,八,bā,指事,八,2,分别相背之形，以两画相背表示分开,
1053,九,九,jiǔ,指事,乙,2,肘关节弯曲之形（肘的本字），假借为数目九,
1054,了,了,le/liǎo,指事,乙,2,尦也,
1055,七,七,qī,指事,一,2,切，以横画加竖表示切断,
1056,十,十,shí,指事,十,2,横竖相交表示数目十,
1057,二,二,èr,指事,二,2,地之数也，以两横画表示数目二,
1058,才,才,cái,指事,一,3,草木初生，才即材的本字,
1059,寸,寸,cùn,指事,寸,3,十分也。人手卻一寸，動𧖴，謂之寸口,
1060,大,大,dà/dài,指事,大,3,正面站立的人形，表示形体之大,
1061,千,千,qiān,指事,十,3,人加一横，表示一千,
1062,刃,刃,rèn,指事,刀,3,刀堅也。象刀有刃之形,
1063,上,上,shàng,指事,一,3,在基准线之上，短横在长横之上,
1064,三,三,sān,指事,一,3,天地人之道也，以三横画表示数目三,
1065,下,下,xià,指事,一,3,在基准线之下，短横在长横之下,
1066,小,小,xiǎo,指事,小,3,细微之物，以三点或三竖表微小,
1067,夕,夕,xī,指事,夕,3,莫也,
1068,于,於,yú,指事,一,3,气欲舒出而受阻，引申为介词,
1069,丫,丫,yā,指事,丨,3,物之岐頭（出《康熙字典》）,
1070,之,之,zhī,指事,丶,3,脚离开地面前行(往)，止下一横为地,
1071,乏,乏,fá,指事,丿,4,反正（不正）,
1072,夫,夫,fū,指事,一,4,大人（成年男子），一横表簪子,
1073,六,六,liù,指事,八,4,棚屋之形，假借为数目六,
1074,廿,廿,niàn,指事,廾,4,二十并也。古文省,
1075,片,片,piàn/piān,指事,片,4,劈开的木片（半木）,
1076,卅,卅,sà,指事,十,4,三十并也。古文省,
1077,天,天,tiān,指事,大,4,人的头顶上方，引申为天空、上天,
1078,太,太,tài,指事,大,4,极大、过度,
1079,王,王,wáng,指事,玉,4,斧钺之形，象征权力和君王,
1080,五,五,wǔ,指事,二,4,天地交午，交错之形,
1081,中,中,zhōng/zhòng,指事,丨,4,旗帜，中间有竖贯穿表示中央,
1082,必,必,bì,指事,心,5,戈柄中间穿孔（柲的本字），引申为一定,
1083,本,本,běn,指事,木,5,木下加横指事，表示树根,
1084,旦,旦,dàn,指事,日,5,明也,
1085,甘,甘,gān,指事,甘,5,美也,
1086,乎,乎,hū,指事,丿,5,語之餘也,
1087,卡,卡,kǎ/qiǎ,指事,卜,5,楚屬關隘地方設兵立塘，謂之守卡（出《康熙字典》）,
1088,立,立,lì,指事,立,5,人站立于地上，大人下一横为地,
1089,民,民,mín,指事,氏,5,刺瞎眼睛的奴隶，引申为被统治者,
1090,末,末,mò,指事,木,5,木上曰末,
1091,母,母,mǔ,指事,毋,5,女子突出两点表示乳房，哺乳的母亲,
1092,示,示,shì,指事,示,5,神主牌位（T形木表），表示神祇,
1093,世,世,shì,指事,一,5,三十年爲一世。从卅而曳長之。亦取其聲也,
1094,四,四,sì,指事,囗,5,四横画表示数目四,
1095,玉,玉,yù,指事,玉,5,一串玉片，用绳子串起,
1096,只,只,zhǐ/zhī,指事,口,5,語巳詞也,
1097,百,百,bǎi,指事,白,6,一百,
1098,血,血,xiě/xuè,指事,血,6,器皿中盛血，表示血液,
1099,亦,亦,yì,指事,亠,6,人之臂亦也,
1100,弟,弟,dì,指事,弓,7,束韦（皮绳）有次第，表示次序,
1101,卒,卒,zú,指事,十,8,隸人給事者衣爲卒。卒，衣有題識者,
